CONFLANS-SAINTE-HONORINE-EL;2;0;78700
SAINT-REMY-LES-CHEVREUSE-PL;1;0;78470
MAULE-EL;2;32.5;78580
LONGWY-SR;3;566.25;54400
SCHWEIGHOUSE-SUR-MODER-PL;1;816.97;67590
TARBES-SR;6;1506.24;65000
LE POIRE-SUR-VIE-PL;1;0;85170
HAGONDANGE-PL;2;345;57300
UCKANGE-PL;1;150;57270
VANVES-SR;1;0;92170
AURILLAC-VT;1;424.63;15000
CARRY-LE-ROUET-VT;1;394.63;13920
FIRMINY-VT;2;1111.3899999999999;42700
BREST-EL;3;345;29200
VILLEFRANCHE-DE-ROUERGUE-PL;1;130;12200
AURAY-SR;6;1346.25;56400
FAULQUEMONT-PL;4;625;57380
EVRON-PL;1;130;53600
MANDELIEU-LA-NAPOULE-PL;2;330;06210
LYON-PL;17;2872.06;69007
SAINTE-GENEVIEVE-DES-BOIS-EL;1;130;91700
CERGY-SR;8;926.53;95800
ORANGE-SR;3;260;84100
VALLAURIS-CH;1;150;06220
BOLLENE-SR;2;280;84500
NANTES-PL;42;7860.200000000001;44000
PARIS-CL;25;11621.54;75002
BOBIGNY-PL;3;1115;93000
BRIANCON-PL;1;130;05100
MAGENTA-SR;2;315;51530
HAGUENAU-SR;8;1210;67500
DIJON-PL;14;1970;21000
TOULOUSE-PL;21;4998.99;31400
DEUIL-LA-BARRE-EL;2;280;95170
COLLEGIEN-PT;1;0;77090
ECARDENVILLE-SUR-EURE-SR;1;130;27490
FORT-MARDYCK-PL;1;150;59760
CORBEIL-ESSONNES-PL;6;1734.79;91100
BERGERAC-PL;4;440;24100
NIMES-CL;1;280;30000
BAVILLIERS-EL;1;139.1;90800
MARSEILLAN-PL;3;515;34340
GUER-CH;1;130;56380
BELLAC-SR;1;360.38;87300
LYON-EL;13;2537.77;69007
SAINT-MARTIN-DE-CRAU-SR;3;410;13310
CHATOU-PL;1;90;78400
BOIS-COLOMBES-CH;1;130;92270
SAINT-GILLES-VT;2;1071.52;30800
MARTIGUES-PL;4;710;13500
MORLANCOURT-VT;1;502.67;80300
LISIEUX-PL;1;0;14100
CAMBRAI-PL;2;290;59400
PAULHAN-PL;2;300;34230
VILLEFRANCHE-SUR-SAONE-EL;3;150;69400
SAINT-LAURENT-DU-VAR-PL;2;1135.48;06700
AVRILLE-PL;1;150;49240
VERN-SUR-SEICHE-PL;2;150;35770
VILLEFRANCHE-SUR-SAÔNE-EL;1;475;69400
ARZON-PL;1;130;56640
THIONVILLE-PL;10;2360.52;57100
CASTRES-PL;6;905;81100
GRAND-COURONNE-PL;1;150;76530
PONTARLIER-PL;8;2030.35;25300
DAUSSE-PL;1;130;47140
GRADIGNAN-PL;7;970;33170
LE MANS-EL;2;260;72100
BRINON-SUR-SAULDRE-SR;1;130;18410
LOZÈRE-SR;1;376.25;48160
SAINT-HERBLAIN-VT;1;432.13;44800
LANTON-PL;1;130;33138
ANGERS-SR;4;1126.25;49100
WATTRELOS-PL;3;410;59150
MULHOUSE-CH;3;390;68100
VILLENEUVE-LA-GUYARD-PL;1;150;89340
BRUNSTATT-PL;1;130;68350
ORVAULT-PL;8;1053;44700
PASSY-EN-VALOIS-PL;1;150;02470
MÉRIGNAC-SR;3;1455.1100000000001;33700
STRASBOURG-EL;6;1697.36;67000
ROUEN-EL;5;540;76000
VIENNE-PL;3;602.5;38200
SAINT-REMY-DU-NORD-CH;1;150;59330
LA SEYNE-SUR-MER-SR;6;850;83500
RENNES-SR;10;1388.75;35000
CRAVENT-CH;1;280;78270
MONS-EN-BAROEUL-PL;1;150;59370
MULHOUSE-PL;12;2136.25;68200
SAINT-JEAN-DE-BRAYE-PL;1;150;45800
HANGENBIETEN-SR;1;150;67980
WATTRELOS-SR;6;1661.25;59150
NICE-EL;13;1260;06000
MONTAUBAN-PL;5;730;82000
BAYONNE-SR;6;999.1;64100
JAUNAY-CLAN-PL;2;280;86130
HOMECOURT-PL;1;150;54310
ALES-PL;1;246.25;30340
BUSSY-SAINT-GEORGES-CH;2;150;77600
AMPLEPUIS-SR;1;130;69550
IFS-VT;1;502.13;14123
PARIS-SR;78;12820.73;75004
NEVERS-EL;2;65;58000
RENESCURE-PL;1;150;59173
BLAGNAC-VT;1;402.13;31700
CARVIN-PL;1;489.1;62220
DIEPPE-PL;2;226.25;76200
RIEDISHEIM-PL;8;1210;68400
WATTIGNIES-PL;1;130;59139
GOURNAY-EN-BRAY-SR;1;130;76220
METZ-TESSY-SR;1;150;74370
ROUBAIX-SR;3;560;59100
MANTES-LA-VILLE-EL;2;240;78711
MERIGNAC-PL;10;3036.25;33700
BOUCHES-DU-RHÔNE-VT;4;2258.52;13300
CRÉTEIL-VT;3;1198.9099999999999;94000
FERRIERES-EN-BRIE-PL;1;0;77164
ROUILLON-PL;1;150;72700
GOND-PONTOUVRE-EL;1;130;16160
SURESNES-EL;3;1943.58;92150
MONS-EN-BAROEUL-CH;1;150;59370
VALENTON-VT;1;482.13;94460
SASSENAGE-VT;1;389.63;38360
SAINT-MEDARD-EN-JALLES-EL;1;150;33160
SAINT-MALO-SR;7;1010;35400
ORTHEZ-EL;1;130;64300
CARCASSONNE-EL;4;260;11000
WITTENHEIM-SR;1;280;68270
PLAISANCE-DU-TOUCH-VT;1;369.63;31830
BOIS-COLOMBES-PL;2;0;92270
SAINT-MALO-EL;3;580;35400
CUGUEN-PL;1;180;35270
VARSBERG-PL;1;150;57880
MOZAC-PL;1;150;63200
LONGVIC-PL;2;541.25;21600
LAVAL-CH;1;130;53000
MAGNY-LES-HAMEAUX-CH;1;350;78114
WAHAGNIES-PL;1;215;59261
BONSECOURS-CH;1;150;76240
ANGLET-CH;1;130;64600
ANGOULEME-VT;1;2287.5;16000
LES SABLES-D'OLONNE-SR;5;860;85100
LUC-SUR-ORBIEU-PL;1;150;11200
SAINTE-FOY-LES-LYON-PL;2;150;69110
BOUJAN-SUR-LIBRON-PL;1;139.9;34760
LIPSHEIM-SR;1;215;67640
PLOUGASTEL-DAOULAS-PL;1;280;29470
LA GRANDVILLE-PL;1;215;08700
NUAILLE-D'AUNIS-PL;1;150;17540
GENEVE-PL;2;555;01206
LE CANNET-CH;1;150;06110
BLAIN-SR;2;280;44130
ISLE-SR;2;310;87170
FISMES-SR;1;150;51170
VALLENAY-SR;1;130;18190
ROCHE-PL;1;130;38090
MONTROUGE-PL;5;615;92120
PLERIN-PL;2;345;22190
CARCASSONNE-PL;5;1721.6;11000
VESOUL-PL;1;130;70000
CHARLY-EL;1;130;69390
LA ROCHETTE-PL;2;260;73110
MORLAAS-PL;1;280;64160
POMMERA-PL;2;450;62760
ANNECY-PL;15;2895.35;74000
HETTANGE-GRANDE-PL;2;300;57330
FOLEMBRAY-EL;1;150;02670
NEVERS-VT;1;0;58000
