CAMBRAI;5;720;59400
PAULHAN;2;300;34230
VILLEFRANCHE-SUR-SAONE;4;300;69400
SAINT-LAURENT-DU-VAR;6;2009.74;06700
AVRILLE;4;601.6;49240
VERN-SUR-SEICHE;3;300;35770
VILLEFRANCHE-SUR-SAÔNE;2;977.13;69400
ARZON;1;130;56640
THIONVILLE;18;4910.78;57100
CASTRES;16;2914.51;81100
GRAND-COURONNE;3;505;76530
PONTARLIER;13;3419.61;25300
DAUSSE;1;130;47140
GRADIGNAN;12;1570;33170
BRINON-SUR-SAULDRE;1;130;18410
LOZÈRE;1;376.25;48160
SAINT-HERBLAIN;11;2936.06;44800
LANTON;1;130;33138
WATTRELOS;11;2481.25;59150
VILLENEUVE-LA-GUYARD;1;150;89340
BRUNSTATT;1;130;68350
ORVAULT;12;2971.26;44700
PASSY-EN-VALOIS;1;150;02470
MÉRIGNAC;6;2351.2400000000002;33700
ROUEN;26;4056.73;76000
VIENNE;5;1303.8200000000002;38200
SAINT-REMY-DU-NORD;1;150;59330
LA SEYNE-SUR-MER;16;3058.52;83500
RENNES;33;10862.26;35000
CRAVENT;1;280;78270
MONS-EN-BAROEUL;4;580;59370
SAINT-JEAN-DE-BRAYE;4;495;45800
HANGENBIETEN;1;150;67980
NICE;31;9261.1;06000
MONTAUBAN;13;2795.5;82000
BAYONNE;17;2484.1;64100
JAUNAY-CLAN;2;280;86130
HOMECOURT;1;150;54310
ALES;3;1298.56;30340
AMPLEPUIS;1;130;69550
IFS;2;632.13;14123
RENESCURE;1;150;59173
BLAGNAC;5;1548.8899999999999;31700
CARVIN;2;639.1;62220
DIEPPE;6;1992.4499999999998;76200
RIEDISHEIM;11;1640;68400
WATTIGNIES;3;597.13;59139
GOURNAY-EN-BRAY;1;130;76220
METZ-TESSY;1;150;74370
ROUBAIX;16;3351.38;59100
MANTES-LA-VILLE;3;466.25;78711
BOUCHES-DU-RHÔNE;8;5284.73;13300
CRÉTEIL;4;1657.58;94000
FERRIERES-EN-BRIE;2;150;77164
ROUILLON;1;150;72700
GOND-PONTOUVRE;2;280;16160
SURESNES;11;2908.58;92150
VALENTON;1;482.13;94460
SASSENAGE;2;539.63;38360
SAINT-MEDARD-EN-JALLES;5;860;33160
ORTHEZ;4;640;64300
CARCASSONNE;14;2936.98;11000
WITTENHEIM;4;927.13;68270
PLAISANCE-DU-TOUCH;4;938.73;31830
CUGUEN;1;180;35270
VARSBERG;1;150;57880
MOZAC;1;150;63200
LONGVIC;4;841.25;21600
MAGNY-LES-HAMEAUX;1;350;78114
WAHAGNIES;1;215;59261
BONSECOURS;3;410;76240
ANGLET;18;3960.62;64600
LES SABLES-D'OLONNE;10;2158.38;85100
LUC-SUR-ORBIEU;1;150;11200
SAINTE-FOY-LES-LYON;4;280;69110
BOUJAN-SUR-LIBRON;3;449.9;34760
LIPSHEIM;1;215;67640
PLOUGASTEL-DAOULAS;3;430;29470
LA GRANDVILLE;1;215;08700
NUAILLE-D'AUNIS;1;150;17540
GENEVE;2;555;01206
LE CANNET;4;585;06110
BLAIN;6;3345.87;44130
ISLE;2;310;87170
FISMES;1;150;51170
VALLENAY;1;130;18190
ROCHE;1;130;38090
PLERIN;5;840;22190
VESOUL;1;130;70000
CHARLY;1;130;69390
LA ROCHETTE;4;520;73110
MORLAAS;1;280;64160
POMMERA;2;450;62760
ANNECY;31;7282.85;74000
HETTANGE-GRANDE;2;300;57330
FOLEMBRAY;1;150;02670
SAINT-BAUZILE;1;130;48000
REIMS;26;4632.48;51100
ARRAS;12;3520.38;62000
LAMBERSART;4;1191.73;59130
CHAMPAGNOLE;1;150;39300
MIRECOURT;2;396.25;88500
MONTMAGNY;1;280;95360
USSEL;2;672.13;19200
MER;1;130;41500
LEGUEVIN;2;280;31490
BETTON;5;1151.23;35830
PLABENNEC;1;180;29860
SAINT-FLORENTIN;2;720;89600
BIARRITZ;10;2185.08;64200
HALLUIN;3;440;59250
STATTMATTEN;1;150;67770
AUCAMVILLE;7;1046.25;31140
PIERRELATTE;4;2019.3899999999999;26700
SAINT-ETIENNE-LES-ORGUES;1;150;04230
SAINTRY-SUR-SEINE;2;1999.36;91250
VETRAZ-MONTHOUX;3;330;74100
HOURTIN;1;130;33990
FOSSES;4;1224.26;95470
MIRIBEL;5;1262.13;60940
JOUÉ-LÈS-TOURS;1;502.13;37300
MEAUX;4;646.25;77100
FOUQUIERES-LES-LENS;1;226.25;62740
ANNEMASSE;19;3819.63;74100
ROANNE;7;820;42300
SAINT-MÉDARD-EN-JALLES;1;626.25;33160
TERGNIER;5;665;02700
PONT-SAINTE-MAXENCE;3;1071.5;60700
VOREPPE;8;760;38340
LE CHESNAY;5;430;78150
VANNES;12;3367.46;56000
FONTAINE;2;667.14;38600
TAYAC;1;150;33570
THONON LES BAINS;1;500.83;74200
NEUILLY-PLAISANCE;6;1002.5;93360
ILLZACH;7;1906.3899999999999;68110
POITIERS;23;4790.5;86000
ORNANS;2;456.25;25290
SOULTZ-HAUT-RHIN;3;505;68360
ROMILLY-SUR-SEINE;5;1063.13;10100
LE BOUSCAT;6;1142.5;33110
MESQUER;1;180;44420
GUERANDE;2;410;44350
VERNET;1;140;31810
MARCY;2;300;69480
MESNAC;1;130;16370
